row_id,broker_ticker,ticker,yahoo_ticker,name,asset_class,role,region,max_weight,min_weight,include,asset_id,lock_yahoo_ticker,symbol,resolver_debug,shortName,longName,quoteType,exchange,fullExchangeName,currency,market,country,yahoo_ok,yahoo_symbol_returned,yahoo_symbol_used
DB5747CE8F30DFB7,ACA,ACA,ACA.PA,Credit Agricole SA,equity,stock,Cboe Europe,0.25,0.0,1,EQH6bbae78c07d52510,1,ACA,,CREDIT AGRICOLE,Crédit Agricole S.A.,EQUITY,PAR,Paris,EUR,fr_market,France,True,ACA.PA,ACA.PA
E8CF4A6C0C43E0CE,AMP,AMP,AMP,Amplifon S.p.A.,equity,stock,Cboe Europe,0.25,0.0,1,EQH6bd3d656cb90cc50,0,AMP,,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",EQUITY,NYQ,NYSE,USD,us_market,United States,True,AMP,AMP
FED70677BB43F756,AM,AM,AM,Antero Midstream Corp.,equity,stock,NYSE,0.25,0.0,1,EQH6fd36d2f7e238840,0,AM,,Antero Midstream Corporation,Antero Midstream Corporation,EQUITY,NYQ,NYSE,USD,us_market,United States,True,AM,AM
247AEC6B199B5F3F,FR,FR,FR.PA,Valeo S.A.,equity,stock,Cboe Europe,0.25,0.0,1,EQH73f584e5d7aed5ac,1,FR,,VALEO,Valeo SE,EQUITY,PAR,Paris,EUR,fr_market,France,True,FR.PA,FR.PA
9480B1C0FAE5C337,NEM,NEM,NEM.DE,Nemetschek SE,equity,stock,Cboe Europe,0.25,0.0,1,EQH745d5701cc59ed54,1,NEM,,Nemetschek SE                 I,Nemetschek SE,EQUITY,GER,XETRA,EUR,de_market,Germany,True,NEM.DE,NEM.DE
6D6D86D80F84387D,DTE,DTE,DTE.DE,Deutsche Telekom AG,equity,stock,Cboe Europe,0.25,0.0,1,EQH7713b456d2aaf9cb,1,DTE,,DEUTSCHE TELEKOM AG           N,Deutsche Telekom AG,EQUITY,GER,XETRA,EUR,de_market,Germany,True,DTE.DE,DTE.DE
33538BC089AF220E,TRI,TRI,TRI.PA,Trigano S.A.,equity,stock,Cboe Europe,0.25,0.0,1,EQH77655c0fdb4f520f,1,TRI,,TRIGANO,Trigano S.A.,EQUITY,PAR,Paris,EUR,fr_market,France,True,TRI.PA,TRI.PA
8F6A445B7568FF88,DIA,DIA,DIA,DiaSorin S.p.A.,equity,stock,Cboe Europe,0.25,0.0,1,EQH7c7035eda0f6b715,1,DIA,,SPDR Dow Jones Industrial Avera,SPDR Dow Jones Industrial Average ETF Trust,ETF,PCX,NYSEArca,USD,us_market,,True,DIA,DIA
4094E750DF928AC9,AC,AC,AC.MX,Arca Continental,equity,stock,BMV,0.25,0.0,0,EQH800f1b3b2098934c,1,AC,,,,,,,,,,,,
63222BBF6753AD4D,HEI,HEI,HEI.DE,Heidelberg Materials AG,equity,stock,Cboe Europe,0.25,0.0,1,EQH83ec1a250d929275,1,HEI,,Heidelberg Materials AG       I,Heidelberg Materials AG,EQUITY,GER,XETRA,EUR,de_market,Germany,True,HEI.DE,HEI.DE
6A4F6FA91F49780B,EL,EL,EL.PA,EssilorLuxottica S.A.,equity,stock,Cboe Europe,0.25,0.0,1,EQH879872c52d68a45e,1,EL,,ESSILORLUXOTTICA,EssilorLuxottica Société anonyme,EQUITY,PAR,Paris,EUR,fr_market,France,True,EL.PA,EL.PA
BD9D686E9238158B,ADP,ADP,ADP,Aeroports de Paris SA,equity,stock,Cboe Europe,0.25,0.0,1,EQH8983943c3dcf91dc,0,ADP,,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",EQUITY,NMS,NasdaqGS,USD,us_market,United States,True,ADP,ADP
EE5F50622101CA2B,SAN,SAN,SAN.MC,Banco Santander SA,equity,stock,Cboe Europe,0.25,0.0,0,EQH93fbaa1d25603f2d,1,SAN.MC,,,,,,,,,,,,
C1E49D53B38C1361,EL,EL,EL,Estee Lauder Companies Inc.,equity,stock,NYSE,0.25,0.0,1,EQH9717f179a70f5581,1,EL,,"Estee Lauder Companies, Inc. (T",The Estée Lauder Companies Inc.,EQUITY,NYQ,NYSE,USD,us_market,United States,True,EL,EL
634F864070243AE3,AMP,AMP,AMP,"Ameriprise Financial, Inc.",equity,stock,NYSE,0.25,0.0,1,EQHa7ec45a545114bf2,0,AMP,,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",EQUITY,NYQ,NYSE,USD,us_market,United States,True,AMP,AMP
67A886547F85D229,BN,BN,BN.PA,Danone S.A.,equity,stock,Cboe Europe,0.25,0.0,1,EQHacbc9c2ec73587ec,1,BN,,DANONE,Danone S.A.,EQUITY,PAR,Paris,EUR,fr_market,France,True,BN.PA,BN.PA
47241D772951CFB0,TRI,TRI,TRI,Thomson Reuters Corp,equity,stock,NYSE,0.25,0.0,1,EQHb5f0b64c8a97fd70,1,TRI,,Thomson Reuters Corp,Thomson Reuters Corporation,EQUITY,NMS,NasdaqGS,USD,us_market,Canada,True,TRI,TRI
4849E394639F3AD7,BN,BN,BN,Brookfield Corporation,equity,stock,NYSE,0.25,0.0,1,EQHbc1cd4d1a50c1c94,1,BN,,Brookfield Corporation,Brookfield Corporation,EQUITY,NYQ,NYSE,USD,us_market,Canada,True,BN,BN
D5A7A20BDE4EDBB0,RF,RF,RF,Regions Financial Corp,equity,stock,NYSE,0.25,0.0,1,EQHbe7647a72fd5c7db,1,RF,,Regions Financial Corporation,Regions Financial Corporation,EQUITY,NYQ,NYSE,USD,us_market,United States,True,RF,RF
5D62BE9DD1375966,ORA,ORA,ORA,Ormat Technologies Inc.,equity,stock,NYSE,0.25,0.0,1,EQHc910a8fac40775d2,1,ORA,,"Ormat Technologies, Inc.","Ormat Technologies, Inc.",EQUITY,NYQ,NYSE,USD,us_market,United States,True,ORA,ORA
4138E711B1A1CCB7,AI,AI,AI,C3.ai Inc.,equity,stock,NYSE,0.25,0.0,1,EQHd38b2280deacb6f0,0,AI,,"C3.ai, Inc.","C3.ai, Inc.",EQUITY,NYQ,NYSE,USD,us_market,United States,True,AI,AI
4996FFA610AB5CE2,MRK,MRK,MRK,Merck & Co Inc.,equity,stock,NYSE,0.25,0.0,1,EQHd5db961edd5024f8,1,MRK,,"Merck & Company, Inc.","Merck & Co., Inc.",EQUITY,NYQ,NYSE,USD,us_market,United States,True,MRK,MRK
50CADC0E1EE377BF,VIV,VIV,VIV,Telefonica Brasil SA,equity,stock,NYSE,0.25,0.0,1,EQHdd5e34152649a5ee,1,VIV,,Telefonica Brasil S.A.,Telefônica Brasil S.A.,EQUITY,NYQ,NYSE,USD,us_market,Brazil,True,VIV,VIV
5C2810D64FC70AD7,NEM,NEM,NEM,Newmont Corporation,equity,stock,NYSE,0.25,0.0,1,EQHddc2e6e74e7ef037,1,NEM,,Newmont Corporation,Newmont Corporation,EQUITY,NYQ,NYSE,USD,us_market,United States,True,NEM,NEM
BBC9D3A3B9D1755E,RF,RF,RF.PA,Eurazeo SE,equity,stock,Cboe Europe,0.25,0.0,1,EQHde07bb35e79f9cd0,1,RF,,EURAZEO SE,Eurazeo SE,EQUITY,PAR,Paris,EUR,fr_market,France,True,RF.PA,RF.PA
467561B62CFF7E3A,SAN,SAN,SAN.PA,Sanofi S.A.,equity,stock,Cboe Europe,0.25,0.0,0,EQHe42ec253064a85da,1,SAN.MC,,,,,,,,,,,,
C2F51088C3EFA7A6,MC,MC,MC,Moelis & Co,equity,stock,NYSE,0.25,0.0,1,EQHe93aee68b654332f,1,MC,,Moelis & Company,Moelis & Company,EQUITY,NYQ,NYSE,USD,us_market,United States,True,MC,MC
