as_of,asset_id,ticker,yahoo_ticker,start,interval,reason,error
2026-02-11,CRYPTO:XRP-USD,XRP-USD,XRP-USD,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH02729bc62ce2ac56,FLG,FLG,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH0a0b3b7d26c74f97,PRU,PRU,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH0c8a06d5d59c7f6a,BDC,BDC,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH342a2eadaa58bfc8,DRVN,DRVN,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH38b607825a4be4e0,CMG,CMG,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH3e16f361d968450f,NVDA,NVDA,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH53ec9ff500ed007e,ISAE4,ISAE4.SA,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH544c9f908ca1b595,VALMT,VALMT.HE,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH66937dd29c4beab8,BEKE,BEKE,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH81f7379fd1fadfa0,GDX,GDX,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH8d6d242d43137258,CSGP,CSGP,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH9626f6d93a10fb02,BBSE3,BBSE3.SA,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQH9c6779f31dc21cc7,IPN,IPN,2017-07-25,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQHacda2e584e78055e,XOM,XOM,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQHbf0b82442b0d4973,STZ,STZ,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQHc77aae26ae69abf0,GNRC,GNRC,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQHeae5d442479cd860,SKY,SKY,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-11,EQHf9d6fb8f4bfd3626,EBAY,EBAY,2026-02-10,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
