as_of,asset_id,ticker,yahoo_ticker,start,interval,reason,error
2026-02-09,EQH001c29fe564c5036,MRK,MRK.DE,2026-02-07,1d,empty,
2026-02-09,EQH0125004479d192c5,CAP,CAP.PA,2026-02-07,1d,empty,
2026-02-09,EQH0201771c795aa583,DEC,DEC.PA,2026-02-07,1d,empty,
2026-02-09,EQH07c8df0f10d9c5ad,AF,AF.PA,2026-02-07,1d,empty,
2026-02-09,EQH07d165e1116b3df5,BAS,BAS.DE,2026-02-07,1d,empty,
2026-02-09,EQH0888b848601714c9,HO,HO.PA,2026-02-07,1d,empty,
2026-02-09,EQH088e29d8259fb642,CLNX,CLNX.MC,2026-02-07,1d,empty,
2026-02-09,EQH089fa93e6146c258,RWE,RWE.DE,2026-02-07,1d,empty,
2026-02-09,EQH09876e42c6fb7c5f,BG,BG.VI,2026-02-07,1d,empty,
2026-02-09,EQH0a3f1407ca6205ea,OR,OR.PA,2026-02-07,1d,empty,
2026-02-09,EQH0d768ae1d82a8a1a,ANE,ANE.MC,2026-02-07,1d,empty,
2026-02-09,EQH0d84a20a4cfd6d43,UBI,UBI.PA,2026-02-07,1d,empty,
2026-02-09,EQH0fd0d2784cc45009,EVD,EVD.DE,2026-02-07,1d,empty,
2026-02-09,EQH0ffd6bca76b4d55b,A5G,A5G.IR,2026-02-07,1d,empty,
2026-02-09,EQH1089ae27396382d5,VER,VER.VI,2026-02-07,1d,empty,
2026-02-09,EQH10b270828b966654,HLAG,HLAG.DE,2026-02-07,1d,empty,
2026-02-09,EQH115e63c1828337d8,BC8,BC8.DE,2026-02-07,1d,empty,
2026-02-09,EQH11e513f361f8116e,FNTN,FNTN.DE,2026-02-07,1d,empty,
2026-02-09,EQH1267a7d4d16aea98,BVI,BVI.PA,2026-02-07,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-09,EQH12d60a8d3dced9b6,ENX,ENX.PA,2026-02-07,1d,empty,
2026-02-09,EQH14c91900d23ed8a0,SPIE,SPIE.PA,2026-02-07,1d,empty,
2026-02-09,EQH164a15e46ad9d7a7,KCR,KCR.HE,2026-02-07,1d,empty,
2026-02-09,EQH16d9ffdd3289a90c,VIV,VIV.PA,2026-02-07,1d,empty,
2026-02-09,EQH17a409f657c3704d,NEX,NEX.PA,2026-02-07,1d,empty,
2026-02-09,EQH1872fd1389adaa25,UCG,UCG.MI,2026-02-07,1d,empty,
2026-02-09,EQH19c44d9648b3f418,ITX,ITX.MC,2026-02-07,1d,empty,
2026-02-09,EQH1a4d702f5ed396f9,CON,CON.DE,2026-02-07,1d,empty,
2026-02-09,EQH1abada545a299429,VOW3,VOW3.DE,2026-02-07,1d,empty,
2026-02-09,EQH1bf6b359d6178dac,ACE,ACE.MI,2026-02-07,1d,empty,
2026-02-09,EQH1cf3b63fe7053b29,P911,P911.DE,2026-02-07,1d,empty,
2026-02-09,EQH1d212f622154b126,RRTL,RRTL.DE,2026-02-07,1d,empty,
2026-02-09,EQH1e90dc194c2c9730,WCH,WCH.DE,2026-02-07,1d,empty,
2026-02-09,EQH1ef5845b5bfba875,DB1,DB1.MU,2026-02-07,1d,empty,
2026-02-09,EQH1f5ac5c6bacaae7f,JMT,JMT.LS,2026-02-07,1d,empty,
2026-02-09,EQH1fa3570dd4459a19,RI,RI.PA,2026-02-07,1d,empty,
2026-02-09,EQH1ffc2870ad09ef26,BESI,BESI.AS,2026-02-07,1d,empty,
2026-02-09,EQH205a1dcddf560ec4,KBC,KBC.BR,2026-02-07,1d,empty,
2026-02-09,EQH1feb4531faca76af,KGX,KGX.DE,2026-02-07,1d,empty,
2026-02-09,EQH21d123691e875d6d,UMG,UMG.AS,2026-02-07,1d,empty,
2026-02-09,EQH23cccda5483985c1,TRN,TRN.MI,2026-02-07,1d,empty,
2026-02-09,EQH24071980b5b7521f,PRY,PRY.MI,2026-02-07,1d,empty,
2026-02-09,EQH2834655e74af1b24,REY,REY.MI,2026-02-07,1d,empty,
2026-02-09,EQH2a6ef2e835632dd8,RBI,RBI.VI,2026-02-07,1d,empty,
2026-02-09,EQH2b2b949f9faea6ee,UQA,UQA.VI,2026-02-07,1d,empty,
2026-02-09,EQH2c5fd385b2c7ff84,ANA,ANA.MC,2026-02-07,1d,empty,
2026-02-09,EQH2d50c804733a6a80,DMP,DMP.DE,2026-02-07,1d,empty,
2026-02-09,EQH2d675bf0828ee8de,SBMO,SBMO.AS,2026-02-07,1d,empty,
2026-02-09,EQH2d7b68000b3ebbc0,COL,COL.MC,2026-02-07,1d,empty,
2026-02-09,EQH2e03219973a74dba,TEP,TEP.PA,2026-02-07,1d,empty,
2026-02-09,EQH2e0b80129b81eead,LIGHT,LIGHT.AS,2026-02-07,1d,empty,
2026-02-09,EQH2f39c4a63d1c0c39,BAYN,BAYN.DE,2026-02-07,1d,empty,
2026-02-09,EQH2f527beaca6f8a3c,ADS,ADS.DE,2026-02-07,1d,empty,
2026-02-09,EQH2fd1de94936b80df,BEKB,BEKB.BR,2026-02-07,1d,empty,
2026-02-09,EQH2fc13a9563195fce,WDS,WDS,2026-02-07,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-09,EQH319ea3989c3b30f2,AENA,AENA.MC,2026-02-07,1d,empty,
2026-02-09,EQH3342dcfdf4838816,LI,LI.PA,2026-02-07,1d,empty,
2026-02-09,EQH36a3e59b8722f97a,ERF,ERF.PA,2026-02-07,1d,empty,
2026-02-09,EQH375f56c8cf39a296,JUN3,JUN3.DE,2026-02-07,1d,empty,
2026-02-09,EQH38dacf3536270c24,MF,MF.PA,2026-02-07,1d,empty,
2026-02-09,EQH3a1994a6c9cce338,ANDR,ANDR.VI,2026-02-07,1d,empty,
2026-02-09,EQH3afde6da8a38972a,AGS,AGS.BR,2026-02-07,1d,empty,
2026-02-09,EQH3b2640c85cc8ee4a,NTGY,NTGY.MC,2026-02-07,1d,empty,
2026-02-09,EQH3e8a82ed64b0e691,FRVIA,FRVIA.PA,2026-02-07,1d,empty,
2026-02-09,EQH3ece6ebc5bd1bb4b,DG,DG.PA,2026-02-07,1d,empty,
2026-02-09,EQH4045ebba16f7f0aa,G24,G24.DE,2026-02-07,1d,empty,
2026-02-09,EQH40e5d597ac178c4e,GRF,GRF.MC,2026-02-07,1d,empty,
2026-02-09,EQH41a31c28b417bb5e,ALO,ALO.PA,2026-02-07,1d,empty,
2026-02-09,EQH45946aaf7b8256dd,KBX,KBX.DE,2026-02-07,1d,empty,
2026-02-09,EQH45b59c5bb3bbb19f,CIE,CIE.MC,2026-02-07,1d,empty,
2026-02-09,EQH45b85d2bd9d305fd,EN,EN.PA,2026-02-07,1d,empty,
2026-02-09,EQH47593364a50f9ed0,BAMI,BAMI.MI,2026-02-07,1d,empty,
2026-02-09,EQH48351e16754b04b8,AGN,AGN.AS,2026-02-07,1d,empty,
2026-02-09,EQH49e842538c444451,SIX2,SIX2.DE,2026-02-07,1d,empty,
2026-02-09,EQH4ba99ffdbe5f94b4,TEF,TEF.MC,2026-02-07,1d,empty,
2026-02-09,EQH4cbc92ffe31f2fc9,PHIA,PHIA.AS,2026-02-07,1d,empty,
2026-02-09,EQH4d8c549ef7af6b41,NDA,NDA.DE,2026-02-07,1d,empty,
2026-02-09,EQH4dda353616b63644,LDO,LDO.MI,2026-02-07,1d,empty,
2026-02-09,EQH4e48f73a16cfd58e,G,G.MI,2026-02-07,1d,empty,
2026-02-09,EQH4e5984da30875388,HOT,HOT.DE,2026-02-07,1d,empty,
2026-02-09,EQH4f54537ceab90001,KPN,KPN.AS,2026-02-07,1d,empty,
2026-02-09,EQH4ffe3638c94193f0,AALB,AALB.AS,2026-02-07,1d,empty,
2026-02-09,EQH50d73a921c441fa8,BNP,BNP.PA,2026-02-07,1d,empty,
2026-02-09,EQH51cddf00e75fbc3e,ATE,ATE.PA,2026-02-07,1d,empty,
2026-02-09,EQH52d9cd3d564aa722,EXO,EXO.AS,2026-02-07,1d,empty,
2026-02-09,EQH544c9f908ca1b595,VALMT,VALMT.HE,2026-02-07,1d,empty,
2026-02-09,EQH54762194295e6f18,BZU,BZU.MI,2026-02-07,1d,empty,
2026-02-09,EQH54c3b8fb05db51c2,BCU,BC.MI,2026-02-07,1d,empty,
2026-02-09,EQH54bab57353b5391d,NDA,NDA-FI.HE,2026-02-07,1d,empty,
2026-02-09,EQH561b3463ca3cc228,AC,AC.PA,2026-02-07,1d,empty,
2026-02-09,EQH585d10f2815715c0,PUB,PUB.PA,2026-02-07,1d,empty,
2026-02-09,EQH58c4a0ee93ee8a01,SOLB,SOLB.BR,2026-02-07,1d,empty,
2026-02-09,EQH5a2da40c0e17219a,VIE,VIE.PA,2026-02-07,1d,empty,
2026-02-09,EQH5a77882b90ec7084,TKA,TKA.DE,2026-02-07,1d,empty,
2026-02-09,EQH5e882bc279869bbe,ENEL,ENEL.MI,2026-02-07,1d,empty,
2026-02-09,EQH603209c08e1a544e,STERV,STERV.HE,2026-02-07,1d,empty,
2026-02-09,EQH6130d4d28a92d18b,ENGI,ENGI.PA,2026-02-07,1d,empty,
2026-02-09,EQH62dca020bc714731,LR,LR.PA,2026-02-07,1d,empty,
2026-02-09,EQH638e9072f386a91c,BCP,BCP.LS,2026-02-07,1d,empty,
2026-02-09,EQH63d9dfe3bdcfaae0,RHM,RHM.DE,2026-02-07,1d,empty,
2026-02-09,EQH644314703dfa9704,WIE,WIE.VI,2026-02-07,1d,empty,
2026-02-09,EQH64809e1fde5b33f2,MUV2,MUV2.DE,2026-02-07,1d,empty,
