as_of,asset_id,ticker,yahoo_ticker,start,interval,reason,error
2026-02-02,EQH001c29fe564c5036,MRK,MRK.DE,2026-01-31,1d,empty,
2026-02-02,EQH0125004479d192c5,CAP,CAP.PA,2026-01-31,1d,empty,
2026-02-02,EQH0201771c795aa583,DEC,DEC.PA,2026-01-31,1d,empty,
2026-02-02,EQH024db041ef4f594a,BRKM5,BRKM5.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH05fce1c09bec6c79,ELP,ELP,2025-12-25,1d,empty,
2026-02-02,EQH076ee029864c5aba,BBAS3,BBAS3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH07c8df0f10d9c5ad,AF,AF.PA,2026-01-31,1d,empty,
2026-02-02,EQH07d165e1116b3df5,BAS,BAS.DE,2026-01-31,1d,empty,
2026-02-02,EQH086d1e7448a63c24,FLRY3,FLRY3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH0888b848601714c9,HO,HO.PA,2026-01-31,1d,empty,
2026-02-02,EQH088e29d8259fb642,CLNX,CLNX.MC,2026-01-31,1d,empty,
2026-02-02,EQH089fa93e6146c258,RWE,RWE.DE,2026-01-31,1d,empty,
2026-02-02,EQH09dbac0e89987ccc,VAMO3,VAMO3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH09876e42c6fb7c5f,BG,BG.VI,2026-01-31,1d,empty,
2026-02-02,EQH0a3f1407ca6205ea,OR,OR.PA,2026-01-30,1d,empty,
2026-02-02,EQH0d1b3491b7c4d7e1,EGIE3,EGIE3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH0d768ae1d82a8a1a,ANE,ANE.MC,2026-01-31,1d,empty,
2026-02-02,EQH0d84a20a4cfd6d43,UBI,UBI.PA,2026-01-31,1d,empty,
2026-02-02,EQH0e020126af0e3f4a,ENEV3,ENEV3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH0fd0d2784cc45009,EVD,EVD.DE,2026-01-31,1d,empty,
2026-02-02,EQH0ffd6bca76b4d55b,A5G,A5G.DE,2026-01-28,1d,empty,
2026-02-02,EQH1089ae27396382d5,VER,VER.VI,2026-01-31,1d,empty,
2026-02-02,EQH10b5f5addac76cd3,CMIG4,CMIG4.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH10b270828b966654,HLAG,HLAG.DE,2026-01-31,1d,empty,
2026-02-02,EQH115e63c1828337d8,BC8,BC8.DE,2026-01-31,1d,empty,
2026-02-02,EQH11f97bdc8d8dfe85,TRAXIONA,TRAXIONA.MX,2026-01-30,1d,no_fx,
2026-02-02,EQH11e513f361f8116e,FNTN,FNTN.DE,2026-01-31,1d,empty,
2026-02-02,EQH1267a7d4d16aea98,BVI,BVI.PA,2026-01-31,1d,empty,
2026-02-02,EQH12d60a8d3dced9b6,ENX,ENX.PA,2026-01-31,1d,empty,
2026-02-02,EQH14c91900d23ed8a0,SPIE,SPIE.PA,2026-01-31,1d,empty,
2026-02-02,EQH164a15e46ad9d7a7,KCR,KCR.HE,2026-01-31,1d,empty,
2026-02-02,EQH16d9ffdd3289a90c,VIV,VIV.PA,2026-01-31,1d,empty,
2026-02-02,EQH17a409f657c3704d,NEX,NEX.PA,2026-01-31,1d,empty,
2026-02-02,EQH17a670f3f260b110,BBAJIOO,BBAJIOO.MX,2026-01-30,1d,no_fx,
2026-02-02,EQH17a6f8f4d5415880,PINFRA,PINFRA.MX,2026-01-30,1d,no_fx,
2026-02-02,EQH185d921cb963f958,BRAV3,BRAV3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH1872fd1389adaa25,UCG,UCG.MI,2026-01-31,1d,empty,
2026-02-02,EQH18f801b22d7dd9ab,GGBR4,GGBR4.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH18e2487eba08cff4,IRDM,IRDM,2026-01-31,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-02,EQH19c44d9648b3f418,ITX,ITX.MC,2026-01-31,1d,empty,
2026-02-02,EQH1a4d702f5ed396f9,CON,CON.DE,2026-01-31,1d,empty,
2026-02-02,EQH1abada545a299429,VOW3,VOW3.DE,2026-01-31,1d,empty,
2026-02-02,EQH1bd77a887af8f75f,GCARSOA1,GCARSOA1.MX,2026-01-30,1d,no_fx,
2026-02-02,EQH1bf6b359d6178dac,ACE,ACE.MI,2026-01-31,1d,empty,
2026-02-02,EQH1c873eb04d6e6f56,BF,BF-B,2026-01-31,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-02,EQH1cba16baf0e66fcc,COGN3,COGN3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH1cf3b63fe7053b29,P911,P911.DE,2026-01-31,1d,empty,
2026-02-02,EQH1d212f622154b126,RRTL,RRTL.DE,2026-01-31,1d,empty,
2026-02-02,EQH1e90dc194c2c9730,WCH,WCH.DE,2026-01-31,1d,empty,
2026-02-02,EQH1ef5845b5bfba875,DB1,DB1.MU,2026-01-31,1d,empty,
2026-02-02,EQH1f58f5a42738c24b,ALOS3,ALOS3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH1fa3570dd4459a19,RI,RI.PA,2026-01-31,1d,empty,
2026-02-02,EQH1f5ac5c6bacaae7f,JMT,JMT.LS,2026-01-31,1d,empty,
2026-02-02,EQH1ffc2870ad09ef26,BESI,BESI.AS,2026-01-31,1d,empty,
2026-02-02,EQH1feb4531faca76af,KGX,KGX.DE,2026-01-31,1d,empty,
2026-02-02,EQH205a1dcddf560ec4,KBC,KBC.BR,2026-01-31,1d,empty,
2026-02-02,EQH21d123691e875d6d,UMG,UMG.AS,2026-01-31,1d,empty,
2026-02-02,EQH23cccda5483985c1,TRN,TRN.MI,2026-01-31,1d,empty,
2026-02-02,EQH24071980b5b7521f,PRY,PRY.MI,2026-01-31,1d,empty,
2026-02-02,EQH2664d37a85156cb3,ROXO34,ROXO34.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH279e81070e0a3247,DXCO3,DXCO3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH27c3c3d924387e40,PAGS34,PAGS34.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH2834655e74af1b24,REY,REY.MI,2026-01-31,1d,empty,
2026-02-02,EQH28f38790ee96eca1,ENGI11,ENGI11.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH292ab1af04a7222e,WALMEX,WALMEX.MX,2026-01-30,1d,no_fx,
2026-02-02,EQH294db803ee1be0a0,BHIA3,BHIA3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH2a6ef2e835632dd8,RBI,RBI.VI,2026-01-31,1d,empty,
2026-02-02,EQH2b2b949f9faea6ee,UQA,UQA.VI,2026-01-31,1d,empty,
2026-02-02,EQH2c5fd385b2c7ff84,ANA,ANA.MC,2026-01-31,1d,empty,
2026-02-02,EQH2d50c804733a6a80,DMP,DMP.DE,2026-01-31,1d,empty,
2026-02-02,EQH2d675bf0828ee8de,SBMO,SBMO.AS,2026-01-31,1d,empty,
2026-02-02,EQH2d7b68000b3ebbc0,COL,COL.MC,2026-01-31,1d,empty,
2026-02-02,EQH2df3d1a99427d3ed,XP,XPBR31.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH2e03219973a74dba,TEP,TEP.PA,2026-01-31,1d,empty,
2026-02-02,EQH2e0b80129b81eead,LIGHT,LIGHT.AS,2026-01-31,1d,empty,
2026-02-02,EQH2f39c4a63d1c0c39,BAYN,BAYN.DE,2026-01-31,1d,empty,
2026-02-02,EQH2f527beaca6f8a3c,ADS,ADS.DE,2026-01-31,1d,empty,
2026-02-02,EQH2fd1de94936b80df,BEKB,BEKB.BR,2026-01-31,1d,empty,
2026-02-02,EQH319ea3989c3b30f2,AENA,AENA.MC,2026-01-31,1d,empty,
2026-02-02,EQH31dcd9a0e003ccf4,KLBN11,KLBN11.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH328a897dc2145193,KOFUBL,KOFUBL.MX,2026-01-30,1d,no_fx,
2026-02-02,EQH3342dcfdf4838816,LI,LI.PA,2026-01-31,1d,empty,
2026-02-02,EQH367627519ba005f4,CYRE3,CYRE3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH36a3e59b8722f97a,ERF,ERF.PA,2026-01-31,1d,empty,
2026-02-02,EQH36c6ccdfd4129865,CPFE3,CPFE3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH3723cac1f663423e,INBR32,INBR32.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH375f56c8cf39a296,JUN3,JUN3.DE,2026-01-31,1d,empty,
2026-02-02,EQH38dacf3536270c24,MF,MF.PA,2026-01-31,1d,empty,
2026-02-02,EQH3a1994a6c9cce338,ANDR,ANDR.VI,2026-01-31,1d,empty,
2026-02-02,EQH3a229b18dd5dc770,TIMS3,TIMS3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH3afde6da8a38972a,AGS,AGS.BR,2026-01-31,1d,empty,
2026-02-02,EQH3b2640c85cc8ee4a,NTGY,NTGY.MC,2026-01-31,1d,empty,
2026-02-02,EQH3cab51e5bafa722c,MMC,MMC,2026-01-31,1d,empty,
2026-02-02,EQH3e8a82ed64b0e691,FRVIA,FRVIA.PA,2026-01-31,1d,empty,
2026-02-02,EQH3e98baa6bc7703ee,EZA,EZA,2026-01-31,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-02,EQH3ece6ebc5bd1bb4b,DG,DG.PA,2026-01-31,1d,empty,
2026-02-02,EQH3fb23fbe3dc5c9b7,CSAN3,CSAN3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH4045ebba16f7f0aa,G24,G24.DE,2026-01-31,1d,empty,
2026-02-02,EQH40e5d597ac178c4e,GRF,GRF,2026-01-31,1d,empty,
2026-02-02,EQH408a247eef56ef48,MRVE3,MRVE3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH41a31c28b417bb5e,ALO,ALO.PA,2026-01-31,1d,empty,
2026-02-02,EQH423810e84c014cbb,SQ,SQ.MX,2026-01-30,1d,no_fx,
2026-02-02,EQH45946aaf7b8256dd,KBX,KBX.DE,2026-01-31,1d,empty,
2026-02-02,EQH45b59c5bb3bbb19f,CIE,CIE.MC,2026-01-31,1d,empty,
2026-02-02,EQH45b85d2bd9d305fd,EN,EN.PA,2026-01-31,1d,empty,
2026-02-02,EQH47593364a50f9ed0,BAMI,BAMI.MI,2026-01-31,1d,empty,
2026-02-02,EQH48351e16754b04b8,AGN,AGN.AS,2026-01-31,1d,empty,
2026-02-02,EQH48927c97ac845fc2,VALE3,VALE3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH49e842538c444451,SIX2,SIX2.DE,2026-01-31,1d,empty,
2026-02-02,EQH4ba99ffdbe5f94b4,TEF,TEF.MC,2026-01-31,1d,empty,
2026-02-02,EQH4c059c131886d86a,RAIZ4,RAIZ4.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH4ca4e7e9d6325f8f,MTDR,MTDR,2026-01-31,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-02,EQH4cbc92ffe31f2fc9,PHIA,PHIA.AS,2026-01-31,1d,empty,
2026-02-02,EQH4dda353616b63644,LDO,LDO.MI,2026-01-31,1d,empty,
2026-02-02,EQH4e2767c9699cacee,BRAP4,BRAP4.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH4e32ac0c7afe00f2,VOLARA,VOLARA.MX,2026-01-30,1d,no_fx,
2026-02-02,EQH4e48f73a16cfd58e,G,G.MI,2026-01-31,1d,empty,
2026-02-02,EQH4e5984da30875388,HOT,HOT.DE,2026-01-31,1d,empty,
2026-02-02,EQH4f54537ceab90001,KPN,KPN.AS,2026-01-31,1d,empty,
2026-02-02,EQH4ffe3638c94193f0,AALB,AALB.AS,2026-01-31,1d,empty,
2026-02-02,EQH50d73a921c441fa8,BNP,BNP.PA,2026-01-31,1d,empty,
2026-02-02,EQH51cddf00e75fbc3e,ATE,ATE.PA,2026-01-31,1d,empty,
2026-02-02,EQH52d9cd3d564aa722,EXO,EXO.AS,2026-01-31,1d,empty,
2026-02-02,EQH532bb6a1be4d639d,ITSA4,ITSA4.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH53ec9ff500ed007e,ISAE4,ISAE4.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH544c9f908ca1b595,VALMT,VALMT.HE,2026-01-31,1d,empty,
2026-02-02,EQH54762194295e6f18,BZU,BZU.MI,2026-01-31,1d,empty,
2026-02-02,EQH54c3b8fb05db51c2,BCU,BC.MI,2026-01-31,1d,empty,
2026-02-02,EQH54cf1170ade20279,ITUB4,ITUB4.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH572384c508cae1f9,YDUQ3,YDUQ3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH585d10f2815715c0,PUB,PUB.PA,2026-01-31,1d,empty,
2026-02-02,EQH58c4a0ee93ee8a01,SOLB,SOLB.BR,2026-01-31,1d,empty,
2026-02-02,EQH58c0145bf436373b,RDOR3,RDOR3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH594d1ef55a704162,STN,STN,2026-01-31,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-02,EQH5a2da40c0e17219a,VIE,VIE.PA,2026-01-31,1d,empty,
2026-02-02,EQH5a77882b90ec7084,TKA,TKA.DE,2026-01-31,1d,empty,
2026-02-02,EQH5c9ba9c82b888a3c,RENT3,RENT3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH5d19033f0a98a1e7,VBBR3,VBBR3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH5e882bc279869bbe,ENEL,ENEL.MI,2026-01-31,1d,empty,
2026-02-02,EQH603209c08e1a544e,STERV,STERV.HE,2026-01-31,1d,empty,
2026-02-02,EQH6130d4d28a92d18b,ENGI,ENGI.PA,2026-01-31,1d,empty,
2026-02-02,EQH615568c62705d1e4,BIMBOA,BIMBOA.MX,2026-01-30,1d,no_fx,
2026-02-02,EQH62dca020bc714731,LR,LR.PA,2026-01-31,1d,empty,
2026-02-02,EQH638e9072f386a91c,BCP,BCP.LS,2026-01-31,1d,empty,
2026-02-02,EQH63d9dfe3bdcfaae0,RHM,RHM.DE,2026-01-31,1d,empty,
2026-02-02,EQH641f52edf07d54b8,PARA,PARA,2010-01-01,1d,empty,
2026-02-02,EQH6419908084a2c8a8,PCH,PCH,2026-01-31,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-02,EQH64809e1fde5b33f2,MUV2,MUV2.DE,2026-01-31,1d,empty,
2026-02-02,EQH644314703dfa9704,WIE,WIE.VI,2026-01-31,1d,empty,
2026-02-02,EQH65423d42e6ad7a9c,MC,MC.PA,2026-01-31,1d,empty,
2026-02-02,EQH657f7dd8c0e04961,ASRNL,ASRNL.AS,2026-01-31,1d,empty,
2026-02-02,EQH67356cf46108dc35,KESKOB,KESKOB.HE,2026-01-31,1d,empty,
2026-02-02,EQH67afefaee2eed0c4,AGUA,AGUA.MX,2026-01-30,1d,no_fx,
2026-02-02,EQH68fd2a5687c2c7d9,RNO,RNO.PA,2026-01-31,1d,empty,
2026-02-02,EQH68fe43493047061f,FRE,FRE.DE,2026-01-31,1d,empty,
2026-02-02,EQH694ed8a34d8bf625,BOVA11,BOVA11.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH69f44f1320aa20c5,NEP,NEP,2010-01-01,1d,empty,
2026-02-02,EQH6a15e22620a34b4e,XLU,XLU,2026-01-31,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-02,EQH6b45d134d667dab0,AKZA,AKZA.AS,2026-01-31,1d,empty,
2026-02-02,EQH6bbae78c07d52510,ACA,ACA.PA,2026-01-31,1d,empty,
2026-02-02,EQH6c3e5fec56a5e5ff,STM,STM,2026-01-31,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-02,EQH6d5b04752eb340c4,UTDI,UTDI.DE,2026-01-31,1d,empty,
2026-02-02,EQH6dab7d58ae646ffc,ORNBV,ORNBV.HE,2026-01-31,1d,empty,
2026-02-02,EQH6fa39c67ed68cc20,KRN,KRN.DE,2026-01-31,1d,empty,
2026-02-02,EQH714f22b59aef5668,HYPE3,HYPE3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH71a0030c3be42f88,ZI,ZI,2010-01-01,1d,empty,
2026-02-02,EQH722adb16ff0cbf15,CSMG3,CSMG3.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH73a9a92089f9f94d,GOAU4,GOAU4.SA,2026-01-30,1d,no_fx,
2026-02-02,EQH73f584e5d7aed5ac,FR,FR.PA,2026-01-31,1d,empty,
2026-02-02,EQH745d5701cc59ed54,NEM,NEM.DE,2026-01-31,1d,empty,
2026-02-02,EQH7713b456d2aaf9cb,DTE,DTE.DE,2026-01-31,1d,empty,
