as_of,asset_id,ticker,yahoo_ticker,start,interval,reason,error
2026-02-07,CRYPTO:ADA-USD,ADA-USD,ADA-USD,2026-02-06,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-07,EQH014475d6faea4f05,ATKR,ATKR,2026-02-06,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-07,EQH4883d9f5d8e87345,HBI,HBI,2025-12-03,1d,empty,
2026-02-07,EQH4f8f2d183327c579,PM,PM,2026-02-06,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-02-07,EQH6419908084a2c8a8,PCH,PCH,2026-02-05,1d,empty,
2026-02-07,EQH69f44f1320aa20c5,NEP,NEP,2010-01-01,1d,empty,
2026-02-07,EQH69e01a89e75ab04c,EWP,EWP,2026-02-06,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
