as_of,asset_id,ticker,yahoo_ticker,start,interval,reason,error
2026-01-27,EQH03c5e70c528f46f5,A,A,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,CRYPTO:ADA-USD,ADA-USD,ADA-USD,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH2bc44545dde837f7,AHCO,AHCO,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQHbb325ce7d8f7664d,AMH,AMH,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH4c349cbc07202bb8,AMN,AMN,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH372f9e289e558385,ATR,ATR,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH14771395c412bbb4,AVB,AVB,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH0843b56030f92a3e,AXTA,AXTA,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH2e659d358eabb4fb,BFIT,BFIT.AS,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQHaeaad56763a2ee60,BRKR,BRKR,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH4068f12864121a85,CDNS,CDNS,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH496e0faf2255b66b,CHH,CHH,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH2449b172e0210d0e,CTAS,CTAS,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH170e3262893e3ec4,CXSE3,CXSE3.SA,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH0fd9c62572f04e86,DOW,DOW,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH25264f1fda71ec80,DTE,DTE,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQHce92fea07a240242,EBC,EBC,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH1596cd48f06a012b,ENS,ENS,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQHd07843b92593ceea,FFIV,FFIV,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH4d84d6452eef9f50,FME,FME.DE,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQHecaa9461c2edda62,GOOGL,GOOGL,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQHd4625b0047749046,GSK,GSK,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH0bc518d5a054f767,HALO,HALO,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH050b02810ea91a03,IG,IG.MI,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH9ca785914ee22745,KMI,KMI,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH5e773c92a55945bc,KRC,KRC,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH991babc5051405eb,KRYS,KRYS,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH416d147aa98b485c,LHA,LHA.DE,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH5719f22cdf002d49,MAC,MAC,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQHd904116bc5019cd0,PRIO3,PRIO3.SA,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH21433e512e368241,RA,RA.MX,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQHe14d3a4aaf4b47fd,RHP,RHP,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH87312e020f1b164c,SSB,SSB,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH63c6a701d301d79d,SYF,SYF,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQHbc200936d1762456,UCB,UCB.BR,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH532d85b5f5c112b1,UNH,UNH,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
2026-01-27,EQH89f78f7f7c5c14cd,VICR,VICR,2026-01-23,1d,fail,"arg must be a list, tuple, 1-d array, or Series"
