trade_id,ts_utc,as_of,asset_id,ticker,side,action_tag,quantity,price,currency,quantity_unit,route,value_usd,fx_to_usd,price_usd,engine_realized_delta,reported_pnl,diff_engine_minus_reported,note,_s3_key,reported_pnl_usd,diff_engine_minus_reported_usd,abs_diff
20200624-60e424da5ad7998b,2020-06-24T15:43:00Z,2020-06-24,EQHdf42fb36dc6ea684,JPM,BUY,close,6.0,94.61,USD,shares,SPOT,,1.0,94.61,3.0600000000000307,3.06,3.064215547965432e-14,,engine/v1/trades/dt=2020-06-24/trade_20200624-60e424da5ad7998b.json,,,3.064215547965432e-14
20200609-e710708712afdbd9,2020-06-09T18:42:27Z,2020-06-09,EQH2e13df1e7f57fe16,META,BUY,close,2.0,237.61,USD,shares,SPOT,,1.0,237.61,0.21999999999997044,0.22,-2.955968803064479e-14,,engine/v1/trades/dt=2020-06-09/trade_20200609-e710708712afdbd9.json,,,2.955968803064479e-14
20200612-08619c5f32ab82fc,2020-06-12T14:23:55Z,2020-06-12,EQHdb7aee8af0868213,TRV,BUY,close,4.0,113.81,USD,shares,SPOT,,1.0,113.81,0.7199999999999704,0.72,-2.9531932455029164e-14,,engine/v1/trades/dt=2020-06-12/trade_20200612-08619c5f32ab82fc.json,,,2.9531932455029164e-14
20200522-c39f7d152550129d,2020-05-22T15:07:31Z,2020-05-22,EQHb6fce58933457bfa,ZM,SELL,close,24.0,173.16,USD,shares,SPOT,,1.0,173.16,-54.72000000000003,-54.72,-2.842170943040401e-14,,engine/v1/trades/dt=2020-05-22/trade_20200522-c39f7d152550129d.json,,,2.842170943040401e-14
20200608-ab1762d33fae6589,2020-06-08T14:10:12Z,2020-06-08,EQH4839b80292843c6e,V,BUY,close,6.0,197.32,USD,shares,SPOT,,1.0,197.32,0.7799999999999727,0.78,-2.731148640577885e-14,,engine/v1/trades/dt=2020-06-08/trade_20200608-ab1762d33fae6589.json,,,2.731148640577885e-14
20200615-57ce06cee43d9f1f,2020-06-15T18:26:13Z,2020-06-15,EQH7c4faf2878658b6a,BA,BUY,close,6.0,191.0,USD,shares,SPOT,,1.0,191.0,0.7200000000000273,0.72,2.731148640577885e-14,,engine/v1/trades/dt=2020-06-15/trade_20200615-57ce06cee43d9f1f.json,,,2.731148640577885e-14
20200609-f92d2d9b870b2f91,2020-06-09T14:01:51Z,2020-06-09,EQH1193212f4e8bb727,AAL,BUY,close,90.0,18.08,USD,shares,SPOT,,1.0,18.08,6.300000000000026,6.3,2.5757174171303632e-14,,engine/v1/trades/dt=2020-06-09/trade_20200609-f92d2d9b870b2f91.json,,,2.5757174171303632e-14
20200612-9fbd4b7369302bfa,2020-06-12T14:35:49Z,2020-06-12,EQH1193212f4e8bb727,AAL,BUY,close,45.0,16.67,USD,shares,SPOT,,1.0,16.67,4.949999999999974,4.95,-2.5757174171303632e-14,,engine/v1/trades/dt=2020-06-12/trade_20200612-9fbd4b7369302bfa.json,,,2.5757174171303632e-14
20200610-05cd9a61d592f5b0,2020-06-10T13:42:41Z,2020-06-10,EQH1193212f4e8bb727,AAL,SELL,close,30.0,16.86,USD,shares,SPOT,,1.0,16.86,1.1999999999999744,1.2,-2.55351295663786e-14,,engine/v1/trades/dt=2020-06-10/trade_20200610-05cd9a61d592f5b0.json,,,2.55351295663786e-14
20200610-a0e886bfe7994994,2020-06-10T17:53:41Z,2020-06-10,EQH1193212f4e8bb727,AAL,SELL,close,60.0,17.59,USD,shares,SPOT,,1.0,17.59,1.1999999999999744,1.2,-2.55351295663786e-14,,engine/v1/trades/dt=2020-06-10/trade_20200610-a0e886bfe7994994.json,,,2.55351295663786e-14
