asset_id,display_symbol,ticker,yahoo_ticker_norm,name,asset_class,region,n_total,n_weekday,n_weekend,nan_frac_total_calendar,nan_frac_weekday_only,max_abs_return,passes_current_25pct_calendar_nan,passes_40pct_calendar_nan,passes_weekday_25pct_nan,passes_min_1000_obs,passes_min_1260_obs
EQH2248fb4c8940d53d,GEO,GEO,,The GEO Group Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.4210178256034851,True,True,True,True,True
EQH2254ec31a70e4817,PFE,PFE,,Pfizer Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.1085514947772026,True,True,True,True,True
EQH226806e5ed5684d8,CLFD,CLFD,,Clearfield Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.2672182619571686,True,True,True,True,True
EQH22792a1faf447ec6,EHC,EHC,,Encompass Health Corp,equity,NYSE,1824,1303,521,0.0,0.0,0.11793715506792068,True,True,True,True,True
EQH22b0e23a34abaaf4,LGND,LGND,,Ligand Pharmaceuticals Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.28831106424331665,True,True,True,True,True
EQH22b88ce45364852b,SPG,SPG,,Simon Property Group Inc,equity,NYSE,1824,1303,521,0.0,0.0,0.10110916942358017,True,True,True,True,True
EQH22c3f9176900bc75,CSX,CSX,,CSX Corp.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.08406825363636017,True,True,True,True,True
EQH22c992a49d07976c,DRI,DRI,,"Darden Restaurants, Inc.",equity,NYSE,1824,1303,521,0.0,0.0,0.1474323570728302,True,True,True,True,True
EQH22cd29aceba158b5,NTNX,NTNX,,Nutanix Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.2913295328617096,True,True,True,True,True
EQH22cf6f45eedca446,PPG,PPG,,PPG Industries Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.124918133020401,True,True,True,True,True
EQH22daaf6ed1cc0cd2,PAYX,PAYX,,Paychex Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.09399016201496124,True,True,True,True,True
EQH22dd2a178968defd,IBN,IBN,,ICICI Bank Limited,equity,NYSE,1824,1303,521,0.0,0.0,0.09899507462978363,True,True,True,True,True
EQH23091fa37bfa4b90,BBWI,BBWI,,Bath & Body Works Inc,equity,NYSE,1824,1303,521,0.0,0.0,0.2518470585346222,True,True,True,True,True
EQH23130d331c79e088,CIGI,CIGI,,Colliers International Group Inc,equity,NASDAQ,1824,1303,521,0.0,0.0,0.10934994369745255,True,True,True,True,True
EQH231eadd1978f0ba3,AKAM,AKAM,,Akamai Technologies Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.23573006689548492,True,True,True,True,True
EQH2324c4a5d5c16e37,APA,APA,,APA Corp,equity,NASDAQ,1824,1303,521,0.0,0.0,0.19101931154727936,True,True,True,True,True
EQH2325a2fe8044198c,LOG.MC,LOG,,Logista Integral S.A.,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.043987274169922,True,True,True,True,True
EQH2363aa06b9298942,LYB,LYB,,Lyondellbasell Industries N.V.,equity,NYSE,1824,1303,521,0.0,0.0,0.12761008739471436,True,True,True,True,True
EQH2376a950ac221eac,BDX,BDX,,Becton Dickinson & Co.,equity,NYSE,1824,1303,521,0.0,0.0,0.1813221275806427,True,True,True,True,True
EQH23998b7bdf1264e0,LRCX,LRCX,,Lam Research Corp.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.1802489161491394,True,True,True,True,True
EQH23cccda5483985c1,TRN.MI,TRN,,Terna Rete Elettrica Nazionale SpA,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.097936153411865,True,True,True,True,True
EQH23d771d0f42547b8,COR,COR,,Cencora Inc,equity,NYSE,1824,1303,521,0.0,0.0,0.1908969134092331,True,True,True,True,True
EQH23fcdeb0d9783128,IOSP,IOSP,,Innospec Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.12390898913145065,True,True,True,True,True
EQH24071980b5b7521f,PRY.MI,PRY,,Prysmian S.p.A.,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.879034042358398,True,True,True,True,True
EQH241905aca55171f4,CCL,CCL,,Carnival Corp.,equity,NYSE,1824,1303,521,0.0,0.0,0.23253270983695984,True,True,True,True,True
EQH24336c6607ce9dc3,PCG,PCG,,PG&E Corporation,equity,NYSE,1824,1303,521,0.0,0.0,0.10805186629295349,True,True,True,True,True
EQH2442dee0e741c0c6,NEE,NEE,,NextEra Energy Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.08971905708312988,True,True,True,True,True
EQH2449b172e0210d0e,CTAS,CTAS,,Cintas Corporation,equity,NASDAQ,1824,1303,521,0.0,0.0,0.10568021982908249,True,True,True,True,True
EQH247ade74f5c0e9d9,ESNT,ESNT,,Essent Group Ltd,equity,NYSE,1824,1303,521,0.0,0.0,0.10398266464471817,True,True,True,True,True
EQH249169da0ca9c453,SNEX,SNEX,,Stonex Group Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.42031994462013245,True,True,True,True,True
EQH2521ac8638bb5663,HQY,HQY,,Healthequity Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.2459855079650879,True,True,True,True,True
EQH25264f1fda71ec80,DTE,DTE,,DTE Energy Co,equity,NYSE,1824,1303,521,0.0,0.0,0.055129487067461014,True,True,True,True,True
EQH2528ac880739de86,GLW,GLW,,Corning Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.41144755482673645,True,True,True,True,True
EQH25328ec827a72f29,PHIA.AS,PHIA,,Royal Philips N.V.,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.085975170135498,True,True,True,True,True
EQH254d10da7f364db2,KFY,KFY,,Korn/Ferry International,equity,NYSE,1824,1303,521,0.0,0.0,0.11605504155158997,True,True,True,True,True
EQH2551178ba4cea827,PII,PII,,Polaris Inc,equity,NYSE,1824,1303,521,0.0,0.0,0.182913139462471,True,True,True,True,True
EQH2567b3e677a2f6c3,EWBC,EWBC,,East West Bancorp Inc,equity,NASDAQ,1824,1303,521,0.0,0.0,0.17365650832653046,True,True,True,True,True
EQH25da4a755179b862,UNG,UNG,,United States Natural Gas Fund,equity,NYSE,1824,1303,521,0.0,0.0,0.1594695895910263,True,True,True,True,True
EQH25e09e0359070f90,CRM,CRM,,Salesforce.com Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.19737142324447632,True,True,True,True,True
EQH25f09fbe749ae3bd,NRG,NRG,,NRG Energy Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.26213011145591736,True,True,True,True,True
EQH25f595955343382e,BEN,BEN,,Franklin Resources Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.1281939446926117,True,True,True,True,True
EQH25fe3c2f9c5f9a35,BAK,BAK,,Braskem SA,equity,NYSE,1824,1303,521,0.0,0.0,0.2315293550491333,True,True,True,True,True
EQH26188e683fff23f7,BX,BX,,Blackstone Inc,equity,NYSE,1824,1303,521,0.0,0.0,0.15034976601600647,True,True,True,True,True
EQH262d0ea08f6ad3d0,VNOM,VNOM,,Viper Energy Partners LP,equity,NASDAQ,1824,1303,521,0.0,0.0,0.10046160966157913,True,True,True,True,True
EQH262d81b0f54dcf76,EA,EA,,Electronic Arts Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.16698287427425385,True,True,True,True,True
EQH264042696e9fe6ae,NTAP,NTAP,,NetApp Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.20208057761192322,True,True,True,True,True
EQH264849d277b7e30c,WSO,WSO,,Watsco Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.11280706524848938,True,True,True,True,True
EQH2651647e0a7d291f,CC,CC,,Chemours Co.,equity,NYSE,1824,1303,521,0.0,0.0,0.3151113986968994,True,True,True,True,True
EQH265d205dda242490,PLD,PLD,,Prologis Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.0956917330622673,True,True,True,True,True
EQH26754be4305e7015,PRX.AS,PRX,,Prosus NV,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.073380947113037,True,True,True,True,True
EQH26a38cd7f6f5bc3c,BSY,BSY,,Bentley Systems Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.13626310229301453,True,True,True,True,True
EQH26b29335648a76cb,BMI,BMI,,Badger Meter Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.2761697471141815,True,True,True,True,True
EQH26cae571b9de874a,J,J,,Jacobs Solutions Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.12448671460151672,True,True,True,True,True
EQH2708ebca63f01a87,FTI,FTI,,TechnipFMC PLC,equity,NYSE,1824,1303,521,0.0,0.0,0.14682941138744354,True,True,True,True,True
EQH27157cc176061150,NEU,NEU,,NewMarket Corporation,equity,NYSE,1824,1303,521,0.0,0.0,0.11819087713956833,True,True,True,True,True
EQH271f6b975a68d01f,CASY,CASY,,Casey's General Stores Inc,equity,NASDAQ,1824,1303,521,0.0,0.0,0.18470971286296844,True,True,True,True,True
EQH272b96f835b7941c,UBER,UBER,,Uber Technologies Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.18902437388896942,True,True,True,True,True
EQH272fff4855629062,DDS,DDS,,Dillard's Inc,equity,NYSE,1824,1303,521,0.0,0.0,0.19422219693660736,True,True,True,True,True
EQH273a4d84ac70f156,GLPG,GLPG,,Galapagos N.V.,equity,Cboe Europe,1824,1303,521,0.0,0.0,0.22468122839927673,True,True,True,True,True
EQH279e81070e0a3247,DXCO3.SA,DXCO3,,Dexco S.A.,equity,B3,1824,1303,521,0.0,0.0,0.11958295851945877,True,True,True,True,True
EQH27c3c3d924387e40,PAGS34.SA,PAGS34,,PagSeguro Digital Ltd.,equity,B3,1824,1303,521,0.0,0.0,0.2645777463912964,True,True,True,True,True
EQH27f7da9e60156510,BBVA,BBVA,,Banco Bilbao Vizcaya Argentaria SA,equity,NYSE,1824,1303,521,0.0,0.0,0.10541724413633347,True,True,True,True,True
EQH2834655e74af1b24,REY.MI,REY,,Reply SpA,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.105632781982422,True,True,True,True,True
EQH2855fc2ded642611,MSCI,MSCI,,Msci Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.1348854899406433,True,True,True,True,True
EQH285da8d0d2be0514,NVDA,NVDA,,NVIDIA Corp.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.2436964213848114,True,True,True,True,True
EQH2860dbfaa1d8d62a,ACX.MC,ACX,,Acerinox SA,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.080972194671631,True,True,True,True,True
EQH287238372960f80b,SOFI,SOFI,,SoFi Technologies Inc,equity,NASDAQ,1824,1303,521,0.0,0.0,0.28393131494522095,True,True,True,True,True
EQH287e1cb2b8de3a26,LI.PA,LI,,Klepierre SA,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.097999572753906,True,True,True,True,True
EQH28a4d8aaa9a714ac,CIG,CIG,,Companhia Energética de Minas Gerais SA,equity,NYSE,1824,1303,521,0.0,0.0,0.20557472109794617,True,True,True,True,True
EQH28be6c16520d1455,LAZ,LAZ,,Lazard Ltd.,equity,NYSE,1824,1303,521,0.0,0.0,0.15083561837673187,True,True,True,True,True
